Fold #,Percentile,Predicted Depth,Reranked All Metric Value,Initial Metric Value,Maximum Metric Value,Depth of Maximum Metric Value,Metric Value At Predicted Depth,Ratio (Metric at Depth / Reranked All),Ratio (Metric at Depth / Maximum Metric Value)
0,20,19,7.635632752850816,7.635632752850816,10.310207740252224,16,10.310207740252224,1.350275487830768,1.0
0,20,19,7.466556751077204,7.466556751077204,7.466556751077204,494,5.892789260714372,0.7892244654625061,0.7892244654625061
0,20,19,8.113518726644532,8.113518726644532,8.815922306406408,347,4.3433441277875025,0.5353218836513067,0.49267041800393985
0,20,17,8.559972811990695,8.559972811990695,8.559972811990695,433,7.713166913459891,0.9010737630679609,0.9010737630679609
0,20,17,8.855590639448218,8.855590639448218,8.855590639448218,140,3.527152589711687,0.3982967069412165,0.3982967069412165
0,20,17,8.889553242386327,8.889553242386327,9.178618068704216,67,8.255189913389014,0.9286394589581171,0.8993935526673934
0,20,17,9.0429500787531,9.0429500787531,9.077226943742447,28,7.569607253646888,0.8370727680375113,0.8339118654365181
0,20,17,9.160842233423908,9.160842233423908,9.50261453941018,129,8.405005075502427,0.9174926127246508,0.8844939506537238
0,20,17,8.564423339410903,8.564423339410903,9.699013374652765,12,9.12088372201699,1.064973479305422,0.940392942013396
0,20,17,9.02163403292939,9.02163403292939,9.746825570724347,105,8.550543328096031,0.9477821087494954,0.8772644248172985
0,20,17,8.845377356638178,8.845377356638178,12.4504883703013,13,12.4504883703013,1.4075700638093864,1.0
0,20,21,9.851665945027309,9.851665945027309,9.851665945027309,17,9.851665945027309,1.0,1.0
0,20,21,9.480790723718563,9.480790723718563,10.46335142962182,41,8.850382753865262,0.9335068151777489,0.8458458853642025
0,20,21,10.211385314978232,10.211385314978232,11.707249858949837,13,11.38325338824387,1.1147609297973238,0.9723251425732338
0,20,21,9.942135293389963,9.942135293389963,9.942135293389963,534,8.91001047272951,0.8961868059322566,0.8961868059322566
0,20,21,9.87045873230197,9.87045873230197,10.00504876754383,469,6.65152261661782,0.6738818120833746,0.6648166112088549
0,20,21,9.91919951522064,9.91919951522064,9.91919951522064,683,6.598877061344067,0.6652630639416353,0.6652630639416353
0,20,21,9.89103244292026,9.89103244292026,9.89103244292026,278,5.060058707732298,0.5115804378292333,0.5115804378292333
0,20,21,10.008989023540916,10.008989023540916,11.21804842974815,47,10.928983603430265,1.0919168337307137,0.9742321645223656
0,20,21,10.203063744280133,10.203063744280133,10.203063744280133,614,9.913998917962244,0.9716688208990227,0.9716688208990227
0,20,21,9.629463226481612,9.629463226481612,10.005110691938466,288,9.080922709054857,0.9430351926659594,0.9076284099856821
0,20,21,10.048300322564923,10.048300322564923,10.048300322564923,42,8.803504003262482,0.8761187186546296,0.8761187186546296
0,20,21,9.934886890631772,9.934886890631772,10.235916886295753,27,9.439892287858855,0.9501761209541623,0.9222322135594275
0,20,21,9.990587445669451,9.990587445669451,9.990587445669451,626,5.880418868114831,0.5885959059057908,0.5885959059057908
0,20,22,10.930641320973097,10.930641320973097,10.930641320973097,885,7.87654053651238,0.7205927177757923,0.7205927177757923
0,20,22,10.47621448894234,10.47621448894234,10.47621448894234,94,8.67963502069857,0.8285087165655054,0.8285087165655054
0,20,22,10.662871238304108,10.662871238304108,11.033513306533877,45,8.983427408058525,0.8424960976540224,0.8141946412244482
0,20,22,10.87380641198622,10.87380641198622,10.87380641198622,127,10.19517457597346,0.9375902227517402,0.9375902227517402
0,20,22,10.507619936637266,10.507619936637266,10.507619936637266,22,10.507619936637266,1.0,1.0
0,20,22,10.7036135486264,10.7036135486264,11.104808615715395,26,10.898744754283117,1.0182304045984318,0.9814437268967734
0,20,22,10.98977792084229,10.98977792084229,10.98977792084229,494,8.067809004292375,0.7341193846139189,0.7341193846139189
0,20,22,10.366754018599917,10.366754018599917,10.553446251603688,428,6.784647465175999,0.6544620864933285,0.6428845424919857
0,20,19,12.05254836162926,12.05254836162926,13.315213137479308,28,11.74817068628103,0.9747457826995947,0.8823118762712548
0,20,19,11.643541073585558,11.643541073585558,13.200001456191645,116,12.212864515512164,1.0488960736539306,0.9252169066832603
0,20,19,11.99974826069358,11.99974826069358,11.99974826069358,18,11.99974826069358,1.0,1.0
0,20,19,11.774570736748869,11.774570736748869,12.739553196619186,156,8.50438884956728,0.7222674218623333,0.6675578584517523
