query_id	NQC	UEF	RSD	OddsRatio	WIG	Scaled NQC	QV-NQC Variant	DenseQPP	SMV	Sigma_max	Sigma_x	max_dcg_value_mono_1000	max_dcg_value_mono_1000_depth	initial_bm25_retrieved_dcg_value	mono_1000_reranked_all_dcg_value	max_dcg_value_mono_1000_duo_20	max_dcg_value_mono_1000_duo_20_depth	mono_1000_duo_20_reranked_all_dcg_value
1021382	286.85373	1042.2897	17.066519	10.632436	9.497402	286.85373	286.85373	0.010052529	33.857098	3.2524145	2.9141004	10.267907621978951	17	10.267907621978953	10.267907621978953	10.267907621978951	0	9.488179658288434
1021449	104.566345	356.85962	8.219758	11.091427	10.956435	104.566345	104.566345	0.009528043	15.36837	3.9090743	2.0134375	13.630678014265037	11	13.630678014265037	13.630678014265037	13.630678014265037	0	13.630678014265037
1023101	208.7694	716.58044	16.195263	14.954256	12.27134	208.7694	208.7694	0.0098702945	25.114897	3.8320656	2.7069929	9.148003145450357	113	6.388615819488755	6.388615819488755	8.127231765395095	6	7.704727940806949
1023109	247.52765	883.0619	32.915913	16.442982	15.22035	247.52765	247.52765	0.01306909	30.367983	4.4373436	3.3956099	10.26883195270601	15	9.979767126388122	9.979767126388122	9.979767126388122	0	9.753472740857205
1023133	11.2152405	41.761898	1.5837418	7.1477385	13.595792	11.2152405	11.2152405	0.011377807	6.5459285	0.98507	0.98507	10.86684663986721	18	9.601905692207739	9.601905692207739	10.878247991016783	13	10.878247991016785
1023363	78.11923	283.88663	8.01994	11.163647	8.538668	78.11923	78.11923	0.008315938	17.810328	1.7545756	1.726776	8.508517826611692	14	8.508517826611692	8.508517826611692	9.321918214875216	5	8.227922669819407
1024311	1796.8716	6298.5996	116.75776	20.326227	16.640263	1796.8716	1796.8716	0.008698903	107.73233	7.240249	4.78219	9.2645599422947	18	9.264559942294701	9.264559942294701	9.333883384221307	4	9.032853388557326
1025772	73.33602	247.87411	7.2404594	11.656295	15.702576	73.33602	73.33602	0.008719112	19.326372	2.307955	2.307955	13.630678014265037	57	12.630678014265037	12.630678014265037	13.630678014265037	11	13.630678014265037
1026433	18.171825	65.22942	8.714879	11.099328	7.926511	18.171825	18.171825	0.011684905	9.396906	0.8275179	0.8275179	6.2947061701745515	102	5.14725060620651	5.14725060620651	6.176553580182008	12	5.816820196380835
1026527	54.997456	189.43404	3.9318852	10.9517	17.088589	54.997456	54.997456	0.01036145	15.610516	1.9180993	1.9180993	7.206613912320256	761	7.206613912320256	7.206613912320256	7.350406725212233	6	6.2637454786562206
1027723	40.532852	141.0609	6.2324843	8.478797	10.302123	40.532852	40.532852	0.009918925	11.456168	1.4412918	1.4412918	8.348225644075761	218	8.147191151217536	8.147191151217536	8.783618968737056	20	8.783618968737056
1028599	2.0606124	7.236599	0.48588702	4.760619	10.823799	2.0606124	2.0606124	0.009074517	2.2307143	0.5240974	0.5240974	8.163401890222309	87	7.920982661428224	7.920982661428224	8.98052448455087	19	8.98052448455087
1028676	16.569437	55.439053	1.5789808	9.838726	5.984132	16.569437	16.569437	0.009675158	7.8056197	0.8785042	0.87308013	10.627416230322392	177	10.627416230322392	10.627416230322392	10.627416230322392	0	9.09861264859356
1028924	20.188612	73.64583	2.2641969	7.8521366	8.972932	20.188612	20.188612	0.01057509	9.010758	1.0982385	1.0982385	11.684376005175144	479	11.684376005175144	11.684376005175144	12.409653438711713	15	12.409653438711711
1029090	225.18695	812.642	12.624139	18.55428	16.89996	225.18695	225.18695	0.009740562	29.30478	5.4340806	5.070504	10.930641320973097	885	10.930641320973095	10.930641320973095	11.037680268775512	7	10.532701312301057
1029559	55.190804	199.73581	4.149063	9.797578	11.828983	55.190804	55.190804	0.010908258	14.680395	1.7407672	1.6919676	8.376242957483553	152	7.80163950154093	7.80163950154093	8.289793394214763	5	7.058754046778498
1029618	5.6959524	20.783566	1.466959	9.284643	24.994108	5.6959524	5.6959524	0.010128765	6.000382	0.8034641	0.8034641	12.341613187947148	327	8.616538242766456	8.616538242766456	9.616538242766456	3	8.386053486445807
1030588	57.127365	200.9048	5.178918	15.915926	6.17327	57.127365	57.127365	0.008957323	17.779963	1.5054324	1.4497544	5.316217416029574	46	4.184818934934552	4.184818934934552	4.392789260714372	4	4.1482368613282015
1032081	35.30045	125.24958	3.9345524	7.6304226	9.942373	35.30045	35.30045	0.009441723	11.345866	1.4356271	1.4346657	3.538553940861261	288	3.0070698857492903	3.0070698857492903	3.1379996393207477	6	2.7881669363434614
1032826	9.361885	32.404724	0.99044484	5.283757	10.589549	9.361885	9.361885	0.010610358	4.9771276	1.046121	1.0158362	8.741998690506165	122	8.076388508756995	8.076388508756995	8.394871241599564	18	7.766569794746832
1033296	34.39567	128.73013	4.418967	8.301852	6.2149954	34.39567	34.39567	0.009634072	9.740522	1.7594923	1.5131955	13.329648018601056	30	12.954760380712607	12.954760380712607	12.954760380712608	0	12.954760380712607
1033403	13.116572	47.619217	1.2825078	7.194987	3.8471584	13.116572	13.116572	0.010903424	6.766299	0.7852035	0.7852035	12.028618022937074	649	12.028618022937074	12.028618022937074	12.028618022937074	0	7.915477309155602
1033727	81.44699	298.45535	4.879861	14.551682	14.081057	81.44699	81.44699	0.009728757	18.412472	3.6825159	2.0171428	2.577231762661349	68	1.9319597492354388	1.9319597492354388	2.1309297535714578	20	2.1309297535714578
103383	29.986984	106.00283	3.171632	6.031587	7.7226486	29.986984	29.986984	0.009710458	9.606362	1.3119117	1.3119117	13.02614831116142	53	12.450488370301299	12.450488370301299	13.028618022937074	14	12.71921502829593
1033927	73.064285	277.35245	9.163075	9.367151	6.9110904	73.064285	73.064285	0.009468175	14.010629	2.0711558	1.5119797	6.717295890504302	540	6.717295890504302	6.717295890504302	6.717295890504302	0	5.8461611555535535
1034263	99.76575	368.9017	15.6002035	9.508404	9.574753	99.76575	99.76575	0.009635016	19.656046	2.0534816	2.0534816	6.482478859442794	177	5.54874325232433	5.54874325232433	7.137913743579142	18	7.137913743579142
1034783	51.157127	175.47823	4.4472904	11.447149	14.027566	51.157127	51.157127	0.009992575	15.813058	2.007217	1.8133954	13.040583192283169	29	12.954760380712607	12.954760380712607	12.954760380712608	0	12.942795211366514
1035058	324.0325	1058.0367	28.285978	16.605145	19.792097	324.0325	324.0325	0.009674922	43.038757	4.3821716	4.3775163	9.236095403304654	9	8.947030576986766	8.947030576986766	8.947030576986766	0	8.587297193185591
1035666	199.28563	689.5984	35.282745	12.998636	21.223253	199.28563	199.28563	0.010166763	36.307274	3.2795382	3.2795382	12.239553196619186	15	10.814631826919804	10.814631826919804	12.341613187947148	15	11.918263640048993
1036149	69.12988	247.50076	6.0243406	10.045814	16.233479	69.12988	69.12988	0.010945991	16.739878	2.4420288	2.4417925	7.004610378012063	456	6.002167313827927	6.002167313827927	8.17523490537796	15	7.5971052527421845
1036271	28.94085	95.16258	5.903336	9.398349	16.046719	28.94085	28.94085	0.008703512	11.833808	1.4560316	1.4560316	9.369520387724664	92	6.99778121235757	6.99778121235757	11.274470827157014	14	11.274470827157014
1036295	51.415436	183.16063	5.7000475	11.79039	10.289759	51.415436	51.415436	0.010806492	13.103513	1.5543501	1.5543501	13.040583192283169	49	13.014183141815327	13.014183141815327	13.014183141815328	0	12.324642621373972
1036485	15.138038	54.291103	2.3562675	4.599174	8.978355	15.138038	15.138038	0.009359884	5.204793	1.1929388	0.9837173	13.297344680931705	262	13.297344680931705	13.297344680931705	13.297344680931705	0	11.509177744588243
1036600	51.007225	166.71442	4.724345	8.778146	15.350758	51.007225	51.007225	0.010052057	14.336577	1.9649411	1.8670678	7.596586145268575	6	5.892789260714372	5.892789260714372	5.892789260714372	0	5.874920804166768
1036645	3.6494215	13.220514	0.275653	7.039989	22.069994	3.6494215	3.6494215	0.007759193	3.902689	0.74119115	0.74119115	13.630678014265037	862	13.630678014265037	13.630678014265037	13.630678014265037	0	13.329648018601056
1037249	30.587034	101.22531	4.217589	8.39178	18.665678	30.587034	30.587034	0.01056471	11.767757	1.4696859	1.4696859	13.630678014265037	79	10.834798766558722	10.834798766558722	13.630678014265037	12	13.329648018601056
1037662	144.7636	517.5764	14.193639	11.34275	18.29675	144.7636	144.7636	0.009995644	27.00996	3.0036135	2.987567	12.954760380712608	25	12.666414927360247	12.666414927360247	13.274470827157014	18	13.274470827157014
1038905	98.57832	340.4016	9.284865	9.301383	17.752235	98.57832	98.57832	0.010618851	23.843914	2.5380294	2.5380294	9.11017104696028	14	8.172386617940376	8.172386617940376	9.043028686170146	12	7.565988435686441
1039681	48.24467	170.56953	3.8722882	17.929544	10.058981	48.24467	48.24467	0.009482699	11.516528	3.253444	1.5633618	2.5	11	2.0	2.0	2.0	0	2.0
1040034	103.12557	359.1439	2.7393742	11.597965	12.307238	103.12557	103.12557	0.009431567	15.642445	3.8775997	2.2636826	8.018535100049846	231	7.038061274140282	7.038061274140282	7.987889479923326	13	7.654556146589992
1040068	31.617334	107.5457	3.4270012	6.805043	9.84328	31.617334	31.617334	0.009566535	10.007377	1.4450685	1.4370831	13.014183141815328	442	13.014183141815327	13.014183141815327	13.329648018601056	11	12.450488370301299
1040154	31.829052	112.2826	3.6693478	10.361836	14.129108	31.829052	31.829052	0.008858902	11.457158	1.5941609	1.5941609	13.630678014265037	15	13.052548361629261	13.052548361629261	13.05254836162926	0	13.028618022937074
1040401	51.742157	191.80438	7.8588743	9.662052	7.328908	51.742157	51.742157	0.011825106	13.540955	1.5143833	1.5143833	12.049920054910537	19	11.459825232928667	11.459825232928667	12.10862344304773	19	12.10862344304773
1040633	159.26465	565.8756	37.533367	12.416572	14.911217	159.26465	159.26465	0.008955787	29.80238	2.530359	2.530359	13.630678014265037	27	13.630678014265037	13.630678014265037	13.630678014265037	0	13.200001456191645
1040694	15.979641	54.269066	2.3672664	7.6554093	8.347814	15.979641	15.979641	0.010264347	6.84908	1.1295415	0.9887032	3.18945462469975	774	3.18945462469975	3.18945462469975	3.522343201856489	11	2.763923995665121
1040886	20.686487	70.19336	2.5461853	8.632352	5.8462734	20.686487	20.686487	0.009970032	8.2555275	1.1193455	1.1112757	13.630678014265037	19	12.856972399795954	12.856972399795954	12.99974826069358	14	12.999748260693579
1042505	14.129529	52.008987	3.452493	9.578486	12.579571	14.129529	14.129529	0.009151418	6.9341297	1.0806718	1.0806718	10.936977819906607	99	9.694589287985186	9.694589287985186	10.759629175055895	10	9.781921718271079
1043670	28.475777	101.14562	2.3825343	13.589916	5.2962914	28.475777	28.475777	0.010894344	11.394364	1.1863867	1.186233	6.192271652465801	43	6.192271652465801	6.192271652465801	7.043559338088346	5	6.899766525196368
1044289	192.20596	625.2659	18.298822	14.501645	10.94509	192.20596	192.20596	0.008406846	27.16438	2.9369338	2.9146013	7.80541884523126	15	7.449211658123238	7.449211658123238	7.4992908310729	12	7.210226004755012
1045590	712.0589	2542.8582	37.777134	28.598024	28.36015	712.0589	712.0589	0.0077539883	87.09335	9.086056	3.5558372	13.329648018601056	19	13.329648018601056	13.329648018601056	13.329648018601056	0	12.75151836596528
1045600	37.67019	127.62828	5.399969	6.7224526	12.137927	37.67019	37.67019	0.009581177	11.95553	1.5496346	1.5496346	13.630678014265037	0	13.630678014265037	13.630678014265037	13.630678014265037	0	13.630678014265037
1046416	35.74924	120.71548	2.4245725	6.298152	11.084469	35.74924	35.74924	0.01025125	10.716656	1.577874	1.5658374	10.187988097609905	766	10.187988097609905	10.187988097609905	10.35451423246489	17	10.35451423246489
1046469	93.600365	377.31924	11.672027	14.102873	26.895657	93.600365	93.600365	0.00847978	24.726322	3.071022	2.882191	8.161533411071987	16	7.489953968445532	7.489953968445532	8.333298096233033	11	8.318863215111286
1046614	33.817184	117.845085	3.935622	9.098251	13.042215	33.817184	33.817184	0.00919902	11.328991	1.3175498	1.3175498	11.315836410664804	398	10.808321768738919	10.808321768738919	10.80832176873892	0	8.456633678781827
1046750	19.321947	68.12577	4.4628024	7.9934998	10.903754	19.321947	19.321947	0.008581074	8.81843	1.0381484	1.0381484	13.630678014265037	151	13.630678014265037	13.630678014265037	13.630678014265037	0	13.329648018601056
1046828	34.398056	121.98869	2.4172332	9.133416	14.676343	34.398056	34.398056	0.010851893	10.725088	1.8694426	1.6498321	4.455645597242949	15	3.7533279132226793	3.7533279132226793	4.142364270999352	15	4.115964220531511
1047561	16.603628	57.56949	2.1392934	8.925202	9.323267	16.603628	16.603628	0.010323578	7.796191	1.0152593	1.0152593	9.106558954525523	53	7.260338343982993	7.260338343982993	10.333704867212408	18	10.333704867212408
1047663	24.105312	86.24895	2.5771682	8.830109	13.940803	24.105312	24.105312	0.011884597	8.727807	2.0048265	1.4094837	2.118559360971916	0	0.6487982101190621	0.6487982101190621	1.1737365524159569	15	1.1737365524159569
1048273	10.5382595	34.880066	0.8342762	8.6129	23.940481	10.5382595	10.5382595	0.009295754	7.5502295	1.1548579	1.1548579	13.630678014265037	37	13.630678014265037	13.630678014265037	13.630678014265037	0	13.630678014265037
1048549	97.58048	329.59567	9.416169	11.169217	13.198822	97.58048	97.58048	0.011347163	19.616772	2.2892044	2.1931956	10.101100423500606	195	9.83044980879545	9.83044980879545	9.83044980879545	0	7.4954041218492105
1048621	34.739544	117.116875	4.507882	7.462287	6.3751364	34.739544	34.739544	0.009325635	9.856844	1.2344545	1.2274395	6.386262700327366	712	5.935498619372676	5.935498619372676	8.404943151107792	11	7.826813498472017
1048730	6.253002	22.602531	0.89181423	6.8068013	12.7684145	6.253002	6.253002	0.0109246485	4.5999236	0.65437806	0.65437806	13.630678014265037	308	13.630678014265037	13.630678014265037	13.630678014265037	0	13.630678014265037
1050353	108.32796	402.61835	17.33779	13.34022	16.769108	108.32796	108.32796	0.009837479	25.090313	2.6308165	2.6308165	13.630678014265037	13	13.630678014265037	13.630678014265037	13.630678014265037	0	13.630678014265037
1051333	7.1764393	25.288086	0.9821005	5.182463	15.586873	7.1764393	7.1764393	0.011403147	4.354628	0.91712826	0.91712826	13.630678014265037	617	13.630678014265037	13.630678014265037	13.630678014265037	0	13.630678014265037
1051454	674.93396	2549.7356	39.50342	29.681826	27.35448	674.93396	674.93396	0.011410572	87.51095	8.540186	3.4542365	7.200889142127643	11	7.200889142127643	7.200889142127643	7.569959388556187	2	7.4457473858247205
1051491	93.2283	312.5664	7.658449	8.54343	10.959629	93.2283	93.2283	0.00946723	17.733023	2.4086142	1.9836862	6.775265891825719	17	6.474235896161738	6.474235896161738	6.474235896161738	0	5.688831351514256
1051755	25.812315	87.03582	2.461386	7.089209	11.762793	25.812315	25.812315	0.010129591	7.8616114	1.6135238	1.2641982	6.876892671421679	39	5.939029634984729	5.939029634984729	5.939029634984729	0	5.187352150980323
1051877	12.209237	42.824646	2.5319624	16.798729	8.949562	12.209237	12.209237	0.008971027	8.551539	0.58378255	0.58378255	11.392253709687672	890	11.392253709687672	11.392253709687672	11.392253709687672	0	8.370694274597001
1052350	36.15869	127.77195	4.2459393	10.152093	11.779147	36.15869	36.15869	0.009165475	11.230975	1.4371022	1.3456137	12.91049187369716	628	12.910491873697161	12.910491873697161	12.91049187369716	0	12.710683434375692
1052548	67.02055	229.90039	4.0972676	16.684402	12.827908	67.02055	67.02055	0.009220045	16.559076	2.5435836	1.9196918	4.961588417367606	0	4.5716717421690936	4.5716717421690936	5.779642067948914	4	5.779642067948914
