query_id	NQC	UEF	RSD	OddsRatio	WIG	Scaled NQC	QV-NQC Variant	DenseQPP	SMV	Sigma_max	Sigma_x	max_dcg_value_monoelectra	max_dcg_value_monoelectra_depth	initial_splade_retrieved_dcg_value	monoelectra_reranked_all_dcg_value
1035058	324.0325	1058.0367	28.285978	16.605145	19.792097	324.0325	324.0325	0.009674922	43.038757	4.3821716	4.3775163	9.236095403304654	0	9.236095403304654	8.947030576986766
1035666	199.28563	689.5984	35.282745	12.998636	21.223253	199.28563	199.28563	0.010166763	36.307274	3.2795382	3.2795382	12.797344680931705	13	12.352700389384644	12.797344680931705
1036149	69.12988	247.50076	6.0243406	10.045814	16.233479	69.12988	69.12988	0.010945991	16.739878	2.4420288	2.4417925	12.412123150487364	8	12.39425469393976	7.785300657626861
1036271	28.94085	95.16258	5.903336	9.398349	16.046719	28.94085	28.94085	0.008703512	11.833808	1.4560316	1.4560316	13.341613187947148	12	13.200001456191645	13.052548361629261
1036295	51.415436	183.16063	5.7000475	11.79039	10.289759	51.415436	51.415436	0.010806492	13.103513	1.5543501	1.5543501	12.941137493823682	38	11.739553196619186	12.941137493823682
1036485	15.138038	54.291103	2.3562675	4.599174	8.978355	15.138038	15.138038	0.009359884	5.204793	1.1929388	0.9837173	13.630678014265037	0	13.630678014265037	13.341613187947148
1036600	51.007225	166.71442	4.724345	8.778146	15.350758	51.007225	51.007225	0.010052057	14.336577	1.9649411	1.8670678	7.73819787702408	9	7.647369668226435	7.678015288352954
1036645	3.6494215	13.220514	0.275653	7.039989	22.069994	3.6494215	3.6494215	0.007759193	3.902689	0.74119115	0.74119115	13.630678014265037	12	10.630678014265037	13.630678014265037
1037249	30.587034	101.22531	4.217589	8.39178	18.665678	30.587034	30.587034	0.01056471	11.767757	1.4696859	1.4696859	12.68428338390785	18	10.345958667197682	12.68428338390785
1037662	144.7636	517.5764	14.193639	11.34275	18.29675	144.7636	144.7636	0.009995644	27.00996	3.0036135	2.987567	12.898971460527664	19	12.297344680931705	12.898971460527664
1038905	98.57832	340.4016	9.284865	9.301383	17.752235	98.57832	98.57832	0.010618851	23.843914	2.5380294	2.5380294	9.052724409232502	13	7.463437325363425	8.592302590412677
1039681	48.24467	170.56953	3.8722882	17.929544	10.058981	48.24467	48.24467	0.009482699	11.516528	3.253444	1.5633618	9.802495428889369	32	9.303551913806867	9.802495428889369
1040034	103.12557	359.1439	2.7393742	11.597965	12.307238	103.12557	103.12557	0.009431567	15.642445	3.8775997	2.2636826	7.29834895948197	18	6.708254137500101	7.29834895948197
